Product Id,Product Handle,Product Title,Product Subtitle,Product Status,Product External Id,Product Description,Product Is Giftcard,Product Discountable,Product Thumbnail,Product Collection Id,Product Type Id,Product Weight,Product Length,Product Height,Product Width,Product Hs Code,Product Origin Country,Product Mid Code,Product Material,Product Created At,Product Updated At,Product Deleted At,Product Image 1,Product Image 2,Product Image 3,Product Sales Channel 1,Variant Id,Variant Title,Variant Sku,Variant Barcode,Variant Ean,Variant Upc,Variant Allow Backorder,Variant Manage Inventory,Variant Hs Code,Variant Origin Country,Variant Mid Code,Variant Material,Variant Weight,Variant Length,Variant Height,Variant Width,Variant Metadata,Variant Variant Rank,Variant Thumbnail,Variant Product Id,Variant Created At,Variant Updated At,Variant Deleted At,Variant Price USD,Variant Price EUR,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Product Image 4
prod_01KPGF5551H65WVTV08J4W48NR,16-ultra-slim-ai-laptop-3k-oled-11cm-thin-6-speaker-audio,"16"" Ultra-Slim AI Laptop | 3K OLED | 1.1cm Thin | 6-Speaker Audio",,published,,"This ultra-thin 16-inch laptop is a sophisticated, high-performance machine for the new era of artificial intelligence. It has been completely redesigned from the inside out. The cabinet features an exquisite new ceramic-aluminum composite material in a range of nature-inspired colors. This material provides durability while completing the ultra-slim design and resisting the test of time. This innovative computer utilizes the latest AI-enhanced processor with quiet ambient cooling. It's designed to enrich your lifestyle on the go with an astonishingly thin 1.1cm chassis that houses an advanced 16-inch 3K OLED display and immersive six-speaker audio.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png,pcol_01KPGF5542AV2ZWTQ5X57W7ZZR,,400,,,,,,,,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-top.png,sc_01KPGF54TANRDTYTH8Y4Z83GTD,variant_01KPGF557XK8VHF1S3CN7Z46SM,256 GB / Blue,256-BLUE,,,,false,false,,,,,,,,,,0,,prod_01KPGF5551H65WVTV08J4W48NR,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,1299,1299,Storage,256 GB,Color,Blue,
prod_01KPGF5551H65WVTV08J4W48NR,16-ultra-slim-ai-laptop-3k-oled-11cm-thin-6-speaker-audio,"16"" Ultra-Slim AI Laptop | 3K OLED | 1.1cm Thin | 6-Speaker Audio",,published,,"This ultra-thin 16-inch laptop is a sophisticated, high-performance machine for the new era of artificial intelligence. It has been completely redesigned from the inside out. The cabinet features an exquisite new ceramic-aluminum composite material in a range of nature-inspired colors. This material provides durability while completing the ultra-slim design and resisting the test of time. This innovative computer utilizes the latest AI-enhanced processor with quiet ambient cooling. It's designed to enrich your lifestyle on the go with an astonishingly thin 1.1cm chassis that houses an advanced 16-inch 3K OLED display and immersive six-speaker audio.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png,pcol_01KPGF5542AV2ZWTQ5X57W7ZZR,,400,,,,,,,,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-top.png,sc_01KPGF54TANRDTYTH8Y4Z83GTD,variant_01KPGF557YDVWH3YZRGT0453X9,512 GB / Red,512-RED,,,,false,false,,,,,,,,,,0,,prod_01KPGF5551H65WVTV08J4W48NR,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,1259,1259,Storage,512 GB,Color,Red,
prod_01KPGF559JSRB7BPN1K7EWE4JH,1080p-hd-pro-webcam-superior-video-privacy-enabled,1080p HD Pro Webcam | Superior Video | Privacy enabled,,published,,"High-quality 1080p HD webcam that elevates your work environment with superior video and audio that outperforms standard laptop cameras. Achieve top-tier video collaboration at a cost-effective price point, ideal for widespread deployment across your organization.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,,,400,,,,,,,,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-side.png,,sc_01KPGF54TANRDTYTH8Y4Z83GTD,variant_01KPGF55A56YJKT5M50YJ2ZCAW,Webcam White,WEBCAM-WHITE,,,,false,false,,,,,,,,,,0,,prod_01KPGF559JSRB7BPN1K7EWE4JH,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,65,65,Color,White,,,
prod_01KPGF559JSRB7BPN1K7EWE4JH,1080p-hd-pro-webcam-superior-video-privacy-enabled,1080p HD Pro Webcam | Superior Video | Privacy enabled,,published,,"High-quality 1080p HD webcam that elevates your work environment with superior video and audio that outperforms standard laptop cameras. Achieve top-tier video collaboration at a cost-effective price point, ideal for widespread deployment across your organization.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,,,400,,,,,,,,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-side.png,,sc_01KPGF54TANRDTYTH8Y4Z83GTD,variant_01KPGF55A5JDQDA1Y411XEAB57,Webcam Black,WEBCAM-BLACK,,,,false,false,,,,,,,,,,0,,prod_01KPGF559JSRB7BPN1K7EWE4JH,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,59,59,Color,Black,,,
prod_01KPGF55BGCRJKR4G3ZG74Q7QX,65-ultra-hd-smartphone-3x-impact-resistant-screen,"6.5"" Ultra HD Smartphone | 3x Impact-Resistant Screen",,published,,"This premium smartphone is crafted from durable and lightweight aerospace-grade aluminum, featuring an expansive 6.5"" Ultra-High Definition AMOLED display. It boasts exceptional durability with a cutting-edge nanocrystal glass front, offering three times the impact resistance of standard smartphone screens. The device combines sleek design with robust protection, setting a new standard for smartphone resilience and visual excellence. Copy",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,pcol_01KPGF5542AV2ZWTQ5X57W7ZZR,,400,,,,,,,,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-bottom.png,sc_01KPGF54TANRDTYTH8Y4Z83GTD,variant_01KPGF55CSXS3AWSKVXMRDFJ01,256 GB Purple,PHONE-256-PURPLE,,,,false,false,,,,,,,,,,0,,prod_01KPGF55BGCRJKR4G3ZG74Q7QX,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,999,999,Memory,256 GB,Color,Purple,
prod_01KPGF55BGCRJKR4G3ZG74Q7QX,65-ultra-hd-smartphone-3x-impact-resistant-screen,"6.5"" Ultra HD Smartphone | 3x Impact-Resistant Screen",,published,,"This premium smartphone is crafted from durable and lightweight aerospace-grade aluminum, featuring an expansive 6.5"" Ultra-High Definition AMOLED display. It boasts exceptional durability with a cutting-edge nanocrystal glass front, offering three times the impact resistance of standard smartphone screens. The device combines sleek design with robust protection, setting a new standard for smartphone resilience and visual excellence. Copy",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,pcol_01KPGF5542AV2ZWTQ5X57W7ZZR,,400,,,,,,,,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-bottom.png,sc_01KPGF54TANRDTYTH8Y4Z83GTD,variant_01KPGF55CT4QVJ9H8V862Q0QPB,256 GB Red,PHONE-256-RED,,,,false,false,,,,,,,,,,0,,prod_01KPGF55BGCRJKR4G3ZG74Q7QX,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,959,959,Memory,256 GB,Color,Red,
prod_01KPGF55EA00128YGCBYZ71C5B,34-qd-oled-curved-gaming-monitor-ultra-wide-infinite-contrast-175hz,"34"" QD-OLED Curved Gaming Monitor | Ultra-Wide | Infinite Contrast | 175Hz",,published,,"Experience the pinnacle of display technology with this 34-inch curved monitor. By merging OLED panels and Quantum Dot technology, this QD-OLED screen delivers exceptional contrast, deep blacks, unlimited viewing angles, and vivid colors. The curved design provides an immersive experience, allowing you to enjoy the best of both worlds in one cutting-edge display. This innovative monitor represents the ultimate fusion of visual performance and immersive design.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,pcol_01KPGF5542AV2ZWTQ5X57W7ZZR,,400,,,,,,,,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-top.png,sc_01KPGF54TANRDTYTH8Y4Z83GTD,variant_01KPGF55EZDDNT11VR7B5E655B,ACME Monitor 4k White,ACME-MONITOR-WHITE,,,,false,false,,,,,,,,,,0,,prod_01KPGF55EA00128YGCBYZ71C5B,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,599,599,Color,White,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-back.png
prod_01KPGF55EA00128YGCBYZ71C5B,34-qd-oled-curved-gaming-monitor-ultra-wide-infinite-contrast-175hz,"34"" QD-OLED Curved Gaming Monitor | Ultra-Wide | Infinite Contrast | 175Hz",,published,,"Experience the pinnacle of display technology with this 34-inch curved monitor. By merging OLED panels and Quantum Dot technology, this QD-OLED screen delivers exceptional contrast, deep blacks, unlimited viewing angles, and vivid colors. The curved design provides an immersive experience, allowing you to enjoy the best of both worlds in one cutting-edge display. This innovative monitor represents the ultimate fusion of visual performance and immersive design.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,pcol_01KPGF5542AV2ZWTQ5X57W7ZZR,,400,,,,,,,,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-top.png,sc_01KPGF54TANRDTYTH8Y4Z83GTD,variant_01KPGF55EZZVK9FHZG2A64BMFY,ACME Monitor 4k White,ACME-MONITOR-BLACK,,,,false,false,,,,,,,,,,0,,prod_01KPGF55EA00128YGCBYZ71C5B,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,599,599,Color,Black,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-back.png
prod_01KPGF55FZ305MFH9KT4FZ294M,hi-fi-gaming-headset-pro-grade-dac-hi-res-certified,Hi-Fi Gaming Headset | Pro-Grade DAC | Hi-Res Certified,,published,,"Experience studio-quality audio with this advanced acoustic system, which pairs premium hardware with high-fidelity sound and innovative audio software for an immersive listening experience. The integrated digital-to-analog converter (DAC) enhances the audio setup with high-resolution certification and a built-in amplifier, delivering exceptional sound clarity and depth. This comprehensive audio solution brings professional-grade sound to your personal environment, whether for gaming, music production, or general entertainment.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,pcol_01KPGF5542AV2ZWTQ5X57W7ZZR,,400,,,,,,,,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-top.png,sc_01KPGF54TANRDTYTH8Y4Z83GTD,variant_01KPGF55GFW6JBJ9HT8D8R146R,Headphone Black,HEADPHONE-BLACK,,,,false,false,,,,,,,,,,0,,prod_01KPGF55FZ305MFH9KT4FZ294M,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,149,149,Color,Black,,,
prod_01KPGF55FZ305MFH9KT4FZ294M,hi-fi-gaming-headset-pro-grade-dac-hi-res-certified,Hi-Fi Gaming Headset | Pro-Grade DAC | Hi-Res Certified,,published,,"Experience studio-quality audio with this advanced acoustic system, which pairs premium hardware with high-fidelity sound and innovative audio software for an immersive listening experience. The integrated digital-to-analog converter (DAC) enhances the audio setup with high-resolution certification and a built-in amplifier, delivering exceptional sound clarity and depth. This comprehensive audio solution brings professional-grade sound to your personal environment, whether for gaming, music production, or general entertainment.",false,true,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,pcol_01KPGF5542AV2ZWTQ5X57W7ZZR,,400,,,,,,,,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-top.png,sc_01KPGF54TANRDTYTH8Y4Z83GTD,variant_01KPGF55GFWV0TFDSMRD7KSNX1,Headphone White,HEADPHONE-WHITE,,,,false,false,,,,,,,,,,0,,prod_01KPGF55FZ305MFH9KT4FZ294M,Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),Sat Apr 18 2026 19:45:45 GMT+0530 (India Standard Time),,149,149,Color,White,,,
